imagename,width,height,area,threshold,# of cored,# of diffuse,# of caa,density of cored,density of diffuse,density of caa
NA3777-02_AB,53784,47177,2537367768,0.9,6502,2042399,1897,2.562498066697283,804.928251141874,0.7476251664910405
NA4077-02_AB,73704,46200,3405124800,0.9,50562,467148,3526,14.848794969276897,137.18968538245645,1.0354980234498306
NA4092-02_AB,65736,45178,2969821008,0.9,43717,243351,8578,14.72041576991902,81.94130196549543,2.8883895618264144
NA4107-02_AB,67728,36459,2469295152,0.9,31850,902238,462,12.89841758049991,365.3828094503949,0.1870979253435152
NA4160-02_AB,59760,41787,2497191120,0.9,31019,1478413,3557,12.42155626438396,592.0303769140426,1.424400387904631
NA4195-02_AB,55776,39849,2222617824,0.9,6617,253929,6742,2.977120010713997,114.24771153099509,3.0333599988263207
NA4256-02_AB,61752,46410,2865910320,0.9,32176,1113128,143560,11.227148238190509,388.40294207112527,50.092286209430306
NA4299-02_AB,57768,43740,2526772320,0.9,70000,940190,974,27.703327065099398,372.0913010476543,0.38547200802009735
NA4391-02_AB,49800,47520,2366496000,0.9,24189,792054,6627,10.221441320838911,334.6948399659243,2.800342785282544
NA4450-02_AB,57768,47481,2742882408,0.9,31120,1136806,552,11.345728824988695,414.45670316902624,0.20124814625301282
NA4463-02_AB,53784,45142,2427917328,0.9,0,0,14,0.0,0.0,0.005766258940757475
NA4471-02_AB,67728,36791,2491780848,0.9,3242,70384,4354,1.3010775014994418,28.24646479504525,1.747344676597338
NA4553-02_AB,67728,47200,3196761600,0.9,32290,231936,63975,10.100847057221909,72.55342406515393,20.012440089370443
NA4626-02_AB,47808,41668,1992063744,0.9,38096,31983,1649,19.12388602761499,16.05520912487427,0.8277847558677319
NA4672-02_AB,49800,36131,1799323800,0.9,71885,322276,1254,39.95111941497134,179.10950769394591,0.6969284794654526
NA4675-02_AB,53784,45548,2449753632,0.9,100957,537865,3730,41.2110828947227,219.5588131696665,1.5226020899721233
NA4691-02_AB,53784,41073,2209070232,0.9,13423,529613,5462,6.076312018313413,239.7447542989661,2.4725334309787574
NA4695-02_AB,55776,41634,2322177984,0.9,25421,1002352,6624,10.947050646054183,431.64305531543613,2.8524945312718977
